QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
5,2.286,91.226,8,2.325,91.181,8,2.362,91.202,4,2.275,91.172,5,2.609,91.164
2,2.357,91.118,9,2.314,91.196,2,2.293,91.235,2,3.877,91.169,4,3.327,91.225
5,3.775,91.256,8,3.184,91.182,8,3.245,91.181,4,3.095,91.148,5,2.704,91.125
5,3.937,91.206,14,3.663,91.224,10,2.956,91.123,4,2.560,91.077,4,2.311,91.160
4,2.768,91.144,13,2.504,91.202,5,2.408,91.117,4,2.321,91.209,5,2.334,91.221
5,2.470,91.235,8,2.258,91.139,8,2.451,91.258,4,2.306,91.158,3,4.484,91.161
3,3.227,91.122,10,3.844,91.149,1,2.357,91.232,4,2.220,91.038,4,3.908,91.145
5,2.323,91.218,12,2.239,91.224,14,2.360,91.232,4,2.611,91.190,4,2.441,91.245
2,2.676,91.229,8,3.867,91.086,8,4.062,91.202,2,3.955,91.105,5,2.442,91.223
5,2.224,91.220,2,3.938,91.158,11,3.104,91.123,4,2.794,91.296,4,3.483,91.166
2,3.989,91.301,2,2.345,91.280,11,2.253,91.183,2,4.050,91.151,5,2.908,91.231
3,2.274,91.227,10,2.210,91.286,1,2.576,91.230,4,2.388,91.183,4,2.296,91.145
2,2.262,91.305,10,2.294,91.118,1,2.251,91.204,1,2.329,91.119,3,2.925,91.124
5,2.832,91.269,8,3.893,91.223,8,2.556,91.219,4,4.080,91.157,4,2.324,91.228
5,2.247,91.223,8,2.313,91.168,8,2.243,91.204,4,2.519,91.187,4,2.284,91.244
3,4.053,91.245,8,2.250,91.250,8,2.301,91.183,4,2.558,91.203,4,2.251,91.190
3,2.333,91.156,8,2.280,91.205,8,2.389,91.245,4,2.392,91.081,4,2.260,91.223
5,3.097,91.223,13,3.763,91.191,5,2.441,91.130,1,3.569,91.129,5,2.491,91.209
5,2.375,91.211,9,8.376,91.172,16,6.943,91.175,4,2.389,91.178,4,2.333,91.280
5,2.302,91.176,8,4.907,91.250,8,2.413,91.238,4,2.980,91.211,5,2.338,91.163
5,2.269,91.126,8,2.474,91.264,8,2.364,91.207,4,2.282,91.199,3,2.204,91.188
5,2.344,91.186,8,2.410,91.179,8,2.595,91.149,4,2.357,91.152,4,2.386,91.133
5,3.187,91.156,8,3.866,91.197,8,2.288,91.148,4,2.280,91.152,5,2.289,91.070
5,2.328,91.146,8,2.252,91.179,8,2.645,91.205,4,2.280,91.188,4,2.304,91.087
3,2.192,91.174,10,2.576,91.166,1,2.268,91.182,1,2.374,91.243,4,2.322,91.121
2,2.250,91.266,0,2.302,91.172,0,2.622,91.144,4,2.168,91.212,4,2.287,91.318
3,2.375,91.129,10,2.686,91.129,1,2.948,91.171,1,3.605,91.174,5,2.817,91.140
5,4.112,91.190,2,3.182,91.275,11,2.220,91.170,4,2.211,91.155,4,2.411,91.151
5,2.208,91.184,8,2.314,91.152,8,2.335,91.223,4,3.014,91.212,3,2.297,91.249
5,2.470,91.188,8,3.641,91.141,8,3.163,91.126,4,3.814,91.152,5,4.248,91.225
5,3.138,91.244,8,2.238,91.221,8,2.368,91.182,4,3.745,91.263,4,3.752,91.197
5,2.414,91.179,2,4.072,91.178,11,2.652,91.247,4,2.401,91.184,1,2.726,91.270
5,2.506,91.217,10,2.894,91.178,1,2.372,91.203,4,2.232,91.208,3,2.307,91.129
2,2.316,91.190,10,2.597,91.198,1,3.458,91.166,1,3.168,91.100,4,2.481,91.105
5,2.265,91.113,14,2.363,91.287,10,2.551,91.113,4,2.256,91.176,4,4.453,91.181
2,2.288,91.215,10,2.425,91.278,1,2.379,91.198,2,3.866,91.117,4,2.929,91.131
5,2.318,91.246,8,2.368,91.193,8,2.328,91.216,4,3.642,91.270,3,3.879,91.239
2,2.272,91.139,2,3.856,91.235,11,3.974,91.166,1,2.745,91.185,4,3.364,91.187
4,2.320,91.120,13,2.613,91.167,5,2.391,91.167,4,2.647,91.190,3,2.386,91.231
2,2.386,91.063,10,3.004,91.257,1,2.320,91.186,1,2.494,91.172,3,3.270,91.234
